Name,YMLs,Invalid YMLs,Functions,Plugins,Packages,Global Policy Version,Function Policy Version,YML LOC,Functions Defined Externally,Resources,YMLs with Global Policies,Number of Global Statements,Number of Global Roles,Functions with Policies,Number of Functions with Roles,Number of Function Statements,Allows Invoke,Global Invoke,AWS Lambda Project
/data/serverless-dataset/ruromgar/python-ai-trading-system,1,0,1,0,0,None,None,42,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/Vetal1977/tf_aws_lambda,1,0,1,0,0,Legacy,None,31,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/cds-snc/bundle-size-tracker,1,0,1,1,0,None,None,24,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/openshift/console,1,0,0,0,0,None,None,5,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/openshift/console-operator,1,0,0,0,0,None,None,171,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/real-social-media/backend,3,3,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/kalinchernev/aws-node-signed-uploads,1,0,1,2,0,Legacy,None,61,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/infinityworks/101-Sessions,36,2,33,26,0,None,None,1893,0,0,1,2,0,0,0,0,False,False,True
/data/serverless-dataset/lpil/learning,2,0,3,0,0,None,None,130,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/lpil/purescript-aws-lambda-express,1,0,1,0,0,None,None,19,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/1Strategy/serverless-ci-cd,1,0,2,3,0,Legacy,None,76,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/fangpidedongsun/jd_scripts2,1,0,0,0,0,None,None,81,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/damoresa/aws-secure-websockets,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/temando/serverless-openapi-documentation,2,0,1,1,0,None,None,140,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/C0k3/session,1,0,9,0,0,Legacy,None,201,0,0,1,2,0,0,0,0,False,False,True
/data/serverless-dataset/krhoyt/IBM,1,0,1,1,0,None,None,16,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/ixartz/Serverless-Boilerplate-Express-TypeScript,1,0,1,3,0,None,None,42,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/juhamust/bitbucket2sns,1,0,1,1,0,Legacy,None,41,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/tobilg/serverless-cubejs,1,0,2,3,0,Legacy,None,168,0,0,1,8,0,0,0,0,False,False,True
/data/serverless-dataset/tobilg/serverless-aws-static-websites,1,0,0,4,0,None,None,46,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/tobilg/aws-fullstack-website,1,0,1,4,0,None,None,86,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/tobilg/aws-lambda-api-call-recorder,2,0,1,2,0,None,iamStatements Plugin,108,0,0,0,0,0,1,0,1,False,False,True
/data/serverless-dataset/developmentseed/satellite-3d,1,0,1,0,0,None,None,28,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/developmentseed/cogeo-mosaic-tiler,1,0,1,0,0,Legacy,None,66,0,0,1,2,0,0,0,0,True,True,True
/data/serverless-dataset/developmentseed/sentinel-2-cog,1,0,1,0,0,Legacy,None,48,0,0,1,2,0,0,0,0,False,False,True
/data/serverless-dataset/developmentseed/pointcloud-to-cog,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/SanderKnape/comparing-serverless-and-sam,1,0,4,0,0,None,Default Role-Based,214,0,0,0,0,0,3,3,0,False,False,True
/data/serverless-dataset/gwittchen/lambda-ocr,2,0,1,3,0,None,None,83,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/hicetnunc2000/hicetnunc-api,1,0,1,3,0,None,None,36,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/cloudreach/aws-lambda-es-cleanup,1,0,1,0,0,Legacy,None,51,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/nathanpeck/nodejs-aws-workshop,1,0,9,0,0,None,None,112,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/ikim23/aws-lambda-static-ip,1,0,2,0,0,Legacy,None,168,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/fterh/heimdall,1,0,1,1,0,Legacy,None,74,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/NickolasHKraus/cloudformation-templates,1,0,1,0,0,None,None,20,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/araines/serverless-php,1,0,1,0,0,None,None,116,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/sscarduzio/CryptoLambda,1,0,1,0,0,Legacy,None,27,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/wpkyoto/serverless-lambda-nestjs,1,0,1,4,0,None,None,63,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/oktadev/okta-dac,1,0,22,1,0,None,None,275,0,0,0,0,0,0,0,0,False,False,True
