YML File,Prolog File,FNs Using Roles,FN Count,Private FN Count,Public FN Count,Resource Count,Public RW Resources,Public RO Resources,Public WO Resources,Private Resources,dynamodb Resources,rds Resources,secretsmanager Resources,route53 Resources,kinesis Resources,s3 Resources,apigateway Resources,sqs Resources,ssm Resources,sdb Resources,event Resources,kms Resources,sns Resources,Global IAM Stmts,Min Stmts Defined Per FN,Max Stmts Defined Per FN,Avg Stmts Defined Per FN,Full Wildcard Resources,Full Wildcard Permissions,Partial Wildcard Resources,Partial Wildcard Permissions,Permission Facts Generated,Min Facts Generated Per FN,Max Facts Generated Per FN,Avg Facts Generated Per FN,Event Triggers,S3 Triggers,IoT Triggers,Stream Msg Triggers,SNS Msg Triggers
/data/serverless-dataset/chunyenHuang/awesome-g0v-projects/serverless.yml,/data/results/chunyenHuang-awesome-g0v-projects-472.pl,0,1,1,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2.0,0,0,1,2,8,8,8,8.0,1,0,0,0,0
/data/serverless-dataset/philschmid/serverless-bert-with-huggingface-aws-lambda/serverless.yaml,/data/results/philschmid-serverless-bert-with-huggingface-aws-lambda-476.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1.0,0,0,0,0,0
/data/serverless-dataset/prisma-archive/serverless-image-proxy/serverless.yml,/data/results/prisma-archive-serverless-image-proxy-481.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/xebia-os/lambda-coding-round-evaluator/candidate-service/serverless.yml,/data/results/xebia-os-lambda-coding-round-evaluator-484.pl,0,3,0,3,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,4,4,4.0,0,0,0,0,0
/data/serverless-dataset/xebia-os/lambda-coding-round-evaluator/assignment-build-executor-service/serverless.yml,/data/results/xebia-os-lambda-coding-round-evaluator-485.pl,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,4,4,4,4.0,4,4,0,0,0
/data/serverless-dataset/serverless-guru/templates/sls-img-processing/serviceA/serverless.yml,/data/results/serverless-guru-templates-487.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/serverless-guru/templates/bitbucket-pipeline-strategy/serverless.yml,/data/results/serverless-guru-templates-488.pl,0,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,5,5,5.0,0,0,0,0,0
/data/serverless-dataset/serverless-guru/templates/sls-decoupling-apigateway-lambda/backendService/serverless.yml,/data/results/serverless-guru-templates-489.pl,0,3,1,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,15,5,5,5.0,1,0,0,0,1
/data/serverless-dataset/serverless-guru/templates/sls-dynamodb-integration-testing/serverless.yml,/data/results/serverless-guru-templates-490.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5,5.0,0,0,0,0,0
/data/serverless-dataset/serverless-guru/templates/sls-lambda-warmer/serverless.yml,/data/results/serverless-guru-templates-492.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
